origin,sugar,metabolism,carrying capacity,vision,lifespan,pollution rate,age,fitness,x,y
126.0,15.0,1.0,17.0,5.0,32.0,0.0,4.0,15.0,23.0,24.0
87.0,11.0,1.0,17.0,5.0,45.0,0.0,9.0,11.0,4.0,25.0
320.0,11.66827541787928,1.0,17.0,5.0,43.0,0.0,15.0,11.66827541787928,39.0,36.0
311.0,3.4926788871558117,1.0,19.0,5.0,28.0,0.0,14.0,3.4926788871558117,22.0,7.0
359.0,6.173287445380211,1.0,19.0,4.0,48.0,0.0,6.0,6.173287445380211,13.0,32.0
320.0,5.609795159201418,1.0,19.0,5.0,43.0,0.0,14.0,5.609795159201418,45.0,31.0
126.0,5.920110936001565,1.0,17.0,5.0,32.0,0.0,19.0,5.920110936001565,45.0,28.0
126.0,13.821906676876583,1.0,19.0,5.0,32.0,0.0,23.0,13.821906676876583,6.0,26.0
119.0,3.6030231080346047,1.0,16.0,5.0,48.0,0.0,41.0,3.6030231080346047,3.0,40.0
87.0,8.981681136835435,1.0,17.0,5.0,45.0,0.0,12.0,8.981681136835435,7.0,16.0
359.0,6.78621196456808,1.0,17.0,4.0,48.0,0.0,44.0,6.78621196456808,21.0,7.0
126.0,20.0,1.0,16.0,4.0,32.0,0.0,4.0,20.0,2.0,27.0
359.0,2.2487115774274984,1.0,19.0,4.0,48.0,0.0,13.0,2.2487115774274984,41.0,13.0
320.0,8.0,1.0,19.0,5.0,43.0,0.0,2.0,8.0,49.0,20.0
129.0,9.110050964192641,1.0,19.0,4.0,37.0,0.0,23.0,9.110050964192641,41.0,25.0
129.0,11.0,1.0,17.0,4.0,37.0,0.0,25.0,11.0,0.0,28.0
87.0,7.027403781771119,1.0,16.0,5.0,45.0,0.0,4.0,7.027403781771119,41.0,35.0
246.0,10.706756009925567,1.0,17.0,5.0,45.0,0.0,14.0,10.706756009925567,47.0,24.0
126.0,16.0,1.0,16.0,5.0,32.0,0.0,8.0,16.0,48.0,8.0
320.0,7.508201461997116,1.0,19.0,5.0,43.0,0.0,7.0,7.508201461997116,41.0,12.0
87.0,13.432550709579571,1.0,19.0,5.0,45.0,0.0,6.0,13.432550709579571,38.0,37.0
359.0,1.1941713659398636,1.0,19.0,5.0,48.0,0.0,25.0,1.1941713659398636,24.0,43.0
84.0,2.5508624136980513,1.0,16.0,5.0,41.0,0.0,23.0,2.5508624136980513,30.0,27.0
246.0,16.0,1.0,16.0,5.0,45.0,0.0,8.0,16.0,8.0,44.0
359.0,10.126651944539468,1.0,17.0,5.0,48.0,0.0,14.0,10.126651944539468,24.0,6.0
320.0,16.0,1.0,19.0,4.0,43.0,0.0,6.0,16.0,0.0,21.0
320.0,8.413505816348895,1.0,18.0,4.0,43.0,0.0,24.0,8.413505816348895,7.0,42.0
359.0,7.678612252534252,1.0,19.0,5.0,48.0,0.0,24.0,7.678612252534252,44.0,12.0
126.0,20.0,1.0,17.0,5.0,26.0,0.0,3.0,20.0,13.0,45.0
